,person,time
0,me,2015-06-21 20:11:44 +0000
1,gf,2015-06-21 21:56:16 +0000
2,me,2015-06-21 22:00:32 +0000
3,gf,2015-07-28 18:15:08 +0000
4,me,2015-07-28 19:15:06 +0000
5,me,2015-07-28 19:15:16 +0000
6,gf,2015-07-28 19:33:53 +0000
7,me,2015-07-28 20:02:39 +0000
8,me,2015-07-28 21:42:38 +0000
9,gf,2015-07-29 05:13:23 +0000
10,me,2015-07-29 05:14:40 +0000
11,gf,2015-07-29 05:26:33 +0000
12,me,2015-07-29 14:08:14 +0000
13,me,2015-08-01 19:12:19 +0000
14,gf,2015-08-01 20:14:41 +0000
15,me,2015-08-01 22:45:11 +0000
16,me,2015-08-01 22:45:16 +0000
17,me,2015-08-01 22:45:30 +0000
18,gf,2015-08-01 22:48:19 +0000
19,me,2015-08-01 22:48:34 +0000
20,gf,2015-08-01 23:55:38 +0000
21,me,2015-08-02 00:03:22 +0000
22,gf,2015-08-02 14:51:58 +0000
23,gf,2015-08-02 14:52:02 +0000
24,me,2015-08-02 14:52:33 +0000
25,gf,2015-08-02 14:53:34 +0000
26,me,2015-08-06 17:41:36 +0000
27,me,2015-08-06 17:41:45 +0000
28,me,2015-08-06 17:42:01 +0000
29,me,2015-08-06 17:46:48 +0000
30,me,2015-08-06 17:47:16 +0000
31,gf,2015-08-06 17:55:12 +0000
32,me,2015-08-06 17:56:23 +0000
33,me,2015-08-06 17:56:29 +0000
34,gf,2015-08-06 17:58:06 +0000
35,me,2015-08-06 17:59:23 +0000
36,me,2015-08-06 17:59:49 +0000
37,gf,2015-08-06 18:04:16 +0000
38,me,2015-08-06 18:04:45 +0000
39,gf,2015-08-06 18:06:52 +0000
40,me,2015-08-06 18:07:01 +0000
41,me,2015-08-27 14:57:19 +0000
42,gf,2015-08-27 14:58:33 +0000
43,me,2015-08-27 14:59:00 +0000
44,me,2015-08-27 15:00:14 +0000
45,me,2015-08-28 02:50:32 +0000
46,gf,2015-08-28 05:13:17 +0000
47,me,2015-08-28 05:16:01 +0000
48,gf,2015-08-28 06:02:08 +0000
49,me,2015-08-30 17:43:19 +0000
50,gf,2015-08-30 18:06:40 +0000
51,me,2015-08-30 18:09:35 +0000
52,gf,2015-08-30 20:48:53 +0000
53,me,2015-09-02 02:44:19 +0000
54,me,2015-09-02 04:29:00 +0000
55,gf,2015-09-02 04:52:06 +0000
56,me,2015-09-11 03:25:52 +0000
57,gf,2015-09-11 03:48:53 +0000
58,me,2015-09-11 03:49:36 +0000
59,me,2015-09-11 03:49:51 +0000
60,gf,2015-09-11 04:01:54 +0000
61,me,2015-09-11 04:43:18 +0000
62,me,2015-09-11 04:43:43 +0000
63,gf,2015-09-11 04:45:09 +0000
64,me,2015-09-11 04:47:00 +0000
65,me,2015-09-12 00:23:44 +0000
66,gf,2015-09-12 00:43:11 +0000
67,me,2015-09-12 00:43:27 +0000
68,me,2015-09-14 03:08:28 +0000
69,gf,2015-09-14 03:10:39 +0000
70,me,2015-09-14 03:11:29 +0000
71,me,2015-09-14 19:28:35 +0000
72,gf,2015-09-14 19:42:46 +0000
73,me,2015-09-17 01:52:54 +0000
74,gf,2015-09-17 02:15:10 +0000
75,me,2015-09-17 02:28:55 +0000
76,me,2015-09-19 00:16:47 +0000
77,gf,2015-09-19 01:19:35 +0000
78,me,2015-09-19 01:22:29 +0000
79,gf,2015-09-20 18:44:04 +0000
80,me,2015-09-20 18:47:25 +0000
81,me,2015-09-20 18:47:33 +0000
82,gf,2015-09-20 20:01:24 +0000
83,me,2015-09-20 20:24:24 +0000
84,gf,2015-09-21 02:42:35 +0000
85,me,2015-09-21 02:45:12 +0000
86,gf,2015-09-21 02:49:31 +0000
87,me,2015-09-21 02:49:49 +0000
88,me,2015-09-21 20:53:00 +0000
89,gf,2015-09-21 20:56:04 +0000
90,me,2015-09-21 20:56:36 +0000
91,me,2015-09-25 03:36:27 +0000
92,gf,2015-09-25 04:20:18 +0000
93,me,2015-09-26 13:50:01 +0000
94,gf,2015-09-26 15:43:37 +0000
95,me,2015-09-26 16:55:53 +0000
96,me,2015-09-26 17:05:47 +0000
97,me,2015-09-26 17:06:08 +0000
98,gf,2015-09-26 17:11:28 +0000
99,me,2015-09-26 17:13:38 +0000
100,gf,2015-09-26 21:25:01 +0000
101,me,2015-09-26 21:44:33 +0000
102,gf,2015-09-26 21:51:10 +0000
103,me,2015-09-27 03:38:17 +0000
104,gf,2015-09-27 04:54:23 +0000
105,me,2015-09-28 00:31:24 +0000
106,gf,2015-09-28 01:42:03 +0000
107,gf,2015-09-28 02:10:41 +0000
108,me,2015-09-28 02:15:08 +0000
109,gf,2015-09-28 02:26:19 +0000
110,gf,2015-09-28 02:31:17 +0000
111,me,2015-09-28 02:33:31 +0000
112,me,2015-09-28 02:33:41 +0000
113,gf,2015-09-28 23:57:56 +0000
114,me,2015-09-29 00:14:40 +0000
115,me,2015-09-29 03:20:19 +0000
116,gf,2015-09-29 03:40:12 +0000
117,me,2015-09-29 03:40:33 +0000
118,gf,2015-09-29 03:44:20 +0000
119,me,2015-09-30 02:37:56 +0000
120,gf,2015-09-30 04:23:30 +0000
121,me,2015-09-30 04:41:19 +0000
122,gf,2015-09-30 04:55:18 +0000
123,me,2015-10-01 04:31:02 +0000
124,gf,2015-10-01 04:40:01 +0000
125,me,2015-10-01 04:45:43 +0000
126,me,2015-10-03 01:15:52 +0000
127,gf,2015-10-03 01:42:20 +0000
128,gf,2015-10-05 21:04:48 +0000
129,me,2015-10-05 21:09:11 +0000
130,gf,2015-10-05 21:16:36 +0000
131,me,2015-10-05 21:17:53 +0000
132,gf,2015-10-05 21:22:52 +0000
133,me,2015-10-05 21:27:17 +0000
134,gf,2015-10-05 21:29:56 +0000
135,me,2015-10-05 21:32:46 +0000
136,me,2015-10-06 04:24:27 +0000
137,gf,2015-10-06 04:25:25 +0000
138,me,2015-10-06 04:25:36 +0000
139,me,2015-10-06 04:25:39 +0000
140,gf,2015-10-06 04:25:49 +0000
141,me,2015-10-06 05:04:33 +0000
142,me,2015-10-06 05:05:15 +0000
143,gf,2015-10-06 05:16:06 +0000
144,me,2015-10-06 05:28:26 +0000
145,me,2015-10-06 05:29:32 +0000
